2308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18,3536; ;AGUAS CLARAS;VIAMAO;RS;ETANOL;3,999;29/11/2018 15:38
2308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18,3536; ;AGUAS CLARAS;VIAMAO;RS;GNV;3,399;29/11/2018 15:38
2308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18,3536; ;AGUAS CLARAS;VIAMAO;RS;DIESEL S500;3,429;29/11/2018 15:38
2308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18,3536; ;AGUAS CLARAS;VIAMAO;RS;DIESEL S10;3,529;29/11/2018 15:38
2315421000137;POSTO 1350 LTDA;RUA HEITOR LIBERATO,2430; ;SAO JOAO;ITAJAI;SC;GASOLINA C COMUM;3,799;14/08/2018 12:18
2315421000137;POSTO 1350 LTDA;RUA HEITOR LIBERATO,2430; ;SAO JOAO;ITAJAI;SC;ETANOL;3,299;14/08/2018 12:18
2315421000137;POSTO 1350 LTDA;RUA HEITOR LIBERATO,2430; ;SAO JOAO;ITAJAI;SC;DIESEL S10;3,299;14/08/2018 12:18
2433811000101;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;GASOLINA C COMUM;4,899;11/07/2018 12:43
2433811000101;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;ETANOL;3,899;11/07/2018 12:43
2433811000101;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;DIESEL S500;3,639;11/07/2018 12:43
2433811000101;POSTO NAVES;RODOVIA BR 153,S/N;KM 722;CENTRO;FIGUEIROPOLIS;TO;DIESEL S10;3,739;11/07/2018 12:43
2455511000123;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;GASOLINA C COMUM;4,599;26/11/2018 17:39
2455511000123;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;ETANOL;2,969;21/11/2018 12:15
2455511000123;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;DIESEL S500;3,629;03/11/2018 17:48
2455511000123;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;DIESEL S10;3,684;03/11/2018 17:48
2513158000190;POSTO CENTRAL HS;AVENIDA ADELINO AMERICO DE AZEVEDO,161/163; ;CENTRO;PORANGATU;GO;GASOLINA C COMUM;4,99;22/11/2018 09:55
2513158000190;POSTO CENTRAL HS;AVENIDA ADELINO AMERICO DE AZEVEDO,161/163; ;CENTRO;PORANGATU;GO;ETANOL;3,24;22/11/2018 09:55
2513158000190;POSTO CENTRAL HS;AVENIDA ADELINO AMERICO DE AZEVEDO,161/163; ;CENTRO;PORANGATU;GO;DIESEL S500;3,99;22/11/2018 09:55
2513158000190;POSTO CENTRAL HS;AVENIDA ADELINO AMERICO DE AZEVEDO,161/163; ;CENTRO;PORANGATU;GO;DIESEL S10;4,1;22/11/2018 09:55
